Date,Fever,Cough,Sore Throat,Stuffy Nose,Muscle Pain,Body Pain,Headaches,Fatigue,Cold,Respiratory syncytial virus infection,Human metapneumovirus infection,COVID-19,Influenza,Runny nose,Chills,Diarrhea,Vomiting,Tamiflu,Oseltamivir,Flu vaccine,Flu shot,Antiviral,Fever medicine,Cough syrup,Wash hands,Hand sanitizer,Influenza(Ch),Cold(Ch),Fever(Ch),Cough(Ch),Sore Throat(Ch),Runny nose(Ch),Headaches(Ch),Chilling(Ch),Fatigue(Ch),Vomiting(Ch),Stomachache(Ch),Myalgia (Ch),Sneeze(Ch),Flu vaccine(Ch),Antipyretics(Ch),Cough Medicine(Ch),Tamifu(Ch),Wash hand(Ch),Disinfect(Ch),Wear mask(Ch)
10/22/2023,48,55,21,0,89,0,0,76,57,0,0,3,56,0,0,75,41,34,0,40,59,0,0,38,0,0,27,39,22,53,16,42,57,14,65,56,31,70,25,42,11,36,28,43,7,5
10/29/2023,41,50,24,0,63,0,68,71,55,0,0,4,31,0,0,81,37,0,0,30,52,0,0,35,0,15,16,36,21,39,16,42,60,16,69,56,54,98,14,42,6,0,16,41,7,4
11/05/2023,49,53,26,0,44,0,0,77,58,0,0,4,21,57,0,69,54,39,0,30,0,0,0,31,0,0,15,36,22,46,16,40,70,16,59,43,38,69,24,40,8,33,17,44,8,5
11/12/2023,45,51,24,0,54,0,46,65,64,0,0,4,33,0,0,65,59,0,0,25,0,0,0,25,0,0,13,48,18,40,15,69,58,17,48,39,43,62,28,69,7,38,16,38,7,4
11/19/2023,46,62,25,0,0,0,0,46,62,0,0,4,29,0,0,67,55,31,0,23,0,0,0,50,0,0,12,44,22,53,17,59,60,18,29,41,27,65,26,59,10,46,13,38,6,5
11/26/2023,45,54,23,0,85,0,0,41,62,0,0,4,37,0,0,80,49,0,0,20,0,0,0,23,0,16,15,44,23,54,16,78,70,18,53,38,39,61,28,78,7,58,20,37,6,6
12/03/2023,48,75,34,0,60,0,0,79,62,0,0,3,39,0,0,63,64,29,0,0,0,0,0,37,0,0,16,53,23,50,16,63,56,18,53,45,32,76,35,63,8,39,18,35,6,7
12/10/2023,47,60,26,0,66,0,0,63,61,0,0,4,36,0,0,73,42,0,0,19,0,0,0,35,0,16,14,46,25,49,17,45,60,19,67,51,40,35,20,45,11,38,21,37,7,3
12/17/2023,46,62,36,0,0,0,0,52,100,0,0,3,20,0,0,49,61,39,0,0,0,0,0,0,0,0,12,49,20,47,19,61,62,22,41,36,33,67,36,61,0,0,33,31,6,4
12/24/2023,56,78,48,0,0,0,0,56,69,0,0,2,23,0,0,66,55,41,0,0,0,0,0,36,0,0,14,60,30,63,26,83,71,43,58,69,52,58,28,83,12,60,51,34,7,0
12/31/2023,51,82,26,0,0,0,47,56,59,0,0,3,41,68,88,78,51,85,0,0,0,0,0,60,0,0,23,65,30,63,25,72,74,37,44,47,48,77,27,72,13,80,61,41,6,5
01/07/2024,51,71,27,0,54,0,47,52,63,0,0,3,42,69,64,66,48,69,0,22,0,0,0,41,0,21,23,55,25,64,21,66,72,29,54,56,43,79,19,66,14,56,55,39,7,4
1/14/2024,49,70,28,0,0,0,0,54,58,0,0,3,32,0,0,52,47,60,0,0,0,0,0,43,0,0,15,47,24,50,17,39,75,26,46,44,26,79,24,39,9,44,31,47,8,0
1/21/2024,42,59,27,0,66,0,0,74,93,0,0,3,30,0,0,67,46,0,0,0,0,0,0,37,0,0,11,44,20,50,19,25,64,21,56,54,28,68,23,25,6,57,28,38,6,0
1/28/2024,48,60,27,0,0,0,0,55,63,0,0,2,28,0,0,77,49,50,0,0,0,0,0,46,0,0,12,46,24,52,16,46,68,34,71,51,26,59,20,46,7,54,33,38,7,4
02/04/2024,48,61,28,0,80,0,0,34,51,0,0,2,26,0,0,61,62,45,0,0,0,0,0,44,0,0,11,46,23,53,27,42,66,27,50,52,38,46,0,42,8,0,31,39,7,4
02/11/2024,51,66,32,0,0,0,0,57,53,0,0,2,30,0,89,74,71,55,0,0,0,0,0,42,0,0,14,56,33,55,28,64,73,41,85,100,42,77,30,64,16,59,41,32,6,5
2/18/2024,53,60,29,0,55,0,0,41,53,0,0,4,26,0,0,75,61,47,0,0,0,77,0,27,0,0,14,52,28,71,24,59,68,28,38,59,52,80,15,59,8,45,51,47,7,3
2/25/2024,52,54,29,0,0,0,51,43,63,0,0,4,31,0,0,75,62,34,0,0,0,0,0,25,0,0,11,46,27,72,23,48,60,33,48,52,40,54,20,48,9,56,38,32,7,0
03/03/2024,49,60,36,0,0,0,0,42,59,0,0,5,26,0,0,58,59,33,0,0,0,0,0,36,0,21,11,44,25,57,19,60,71,28,49,50,30,83,13,60,6,40,35,40,7,4
03/10/2024,47,61,31,0,0,0,0,72,62,0,0,4,29,0,0,83,40,37,0,0,0,0,0,28,0,0,13,44,25,60,20,69,65,34,50,55,37,82,24,69,11,57,56,40,7,4
3/17/2024,50,58,32,0,0,0,48,61,51,0,0,3,33,0,0,78,50,0,0,0,0,92,0,34,0,0,10,41,24,64,23,35,71,19,57,62,35,79,0,35,10,0,36,39,7,5
3/24/2024,48,69,21,0,0,0,0,58,52,0,0,3,21,0,0,52,42,0,0,0,0,0,0,0,0,0,8,40,24,58,18,39,68,25,47,63,53,79,20,39,10,37,31,41,7,0
3/31/2024,41,51,27,0,56,0,0,63,52,0,0,2,15,0,0,60,70,45,0,0,0,100,0,0,0,0,9,37,24,53,19,59,67,15,54,60,50,85,30,59,0,0,28,42,8,0
04/07/2024,45,52,33,0,66,0,0,78,55,0,0,4,33,0,0,61,55,46,0,0,0,0,0,25,0,0,8,36,22,56,17,48,67,23,33,48,34,90,29,48,9,0,35,39,7,4
4/14/2024,53,48,24,0,88,0,0,62,53,0,0,3,37,0,0,68,47,35,0,0,0,0,0,23,0,0,9,33,23,42,18,50,68,15,85,59,29,67,23,50,10,50,41,39,7,5
4/21/2024,53,46,22,0,63,0,46,65,56,0,0,4,32,0,0,56,41,39,0,0,0,0,0,27,0,0,13,35,26,52,17,47,63,25,90,56,47,77,26,47,13,0,46,35,7,0
4/28/2024,51,49,29,0,0,0,0,58,55,0,0,3,37,0,0,73,42,71,0,0,0,0,0,0,0,0,17,41,29,50,19,48,54,32,68,54,48,90,23,48,15,32,70,36,6,0
05/05/2024,52,45,31,0,0,0,0,59,57,0,0,3,41,0,0,84,38,67,0,0,0,0,0,0,0,0,18,39,27,51,18,56,73,30,51,49,32,57,26,56,12,0,81,43,7,3
05/12/2024,54,50,29,0,0,0,0,61,52,0,0,3,31,0,0,66,34,0,0,0,0,0,0,44,0,0,15,41,26,51,17,36,65,26,71,45,46,64,21,36,9,34,49,40,8,4
5/19/2024,49,40,21,0,65,0,0,51,48,0,0,2,32,0,0,51,50,49,0,0,0,0,0,0,0,0,9,30,20,55,11,33,54,23,61,47,30,90,24,33,5,0,25,34,7,0
5/26/2024,48,36,17,0,56,0,0,55,48,0,0,2,30,0,0,53,40,54,0,0,0,0,0,25,0,18,8,27,20,40,12,26,69,17,63,37,45,68,14,26,7,0,40,47,7,3
06/02/2024,50,40,12,0,0,0,0,72,55,0,0,3,18,0,0,64,59,65,0,0,0,0,0,0,0,27,6,31,19,35,15,56,69,17,66,45,51,82,23,56,6,0,17,42,7,0
06/09/2024,55,38,32,0,72,0,0,44,56,0,0,2,25,0,0,74,55,0,0,0,0,0,0,0,0,0,5,27,21,36,13,36,67,19,63,41,51,66,20,36,6,0,23,38,8,4
6/16/2024,47,43,23,0,0,0,0,73,52,0,0,3,31,0,0,70,42,46,0,0,0,0,0,43,0,0,7,27,22,33,14,53,69,18,51,49,38,72,23,53,11,0,29,36,7,4
6/23/2024,49,41,20,0,0,0,0,55,50,0,0,2,20,0,0,68,40,45,0,0,0,0,0,0,0,0,7,31,24,34,18,47,65,12,55,47,37,76,30,47,10,34,31,41,8,0
6/30/2024,45,34,22,0,0,0,0,66,50,0,0,2,24,0,0,70,64,0,0,21,0,0,0,30,0,0,6,33,26,42,19,43,61,26,56,42,40,81,31,43,10,0,28,37,8,4
07/07/2024,47,37,28,0,0,0,0,41,50,0,0,3,19,0,0,76,61,0,0,0,0,0,0,0,0,0,6,31,23,34,15,43,65,19,57,54,55,66,22,43,7,0,15,42,7,0
7/14/2024,48,35,22,0,90,0,0,57,53,0,0,2,22,0,0,65,44,0,0,0,0,0,0,0,0,0,6,30,23,36,15,33,61,22,65,47,39,51,22,33,11,0,25,44,7,4
7/21/2024,47,41,21,0,88,0,0,50,55,0,0,2,25,0,0,63,56,0,0,0,0,0,0,0,0,0,5,28,23,35,16,44,63,20,44,47,39,64,15,44,11,38,16,41,8,6
7/28/2024,46,29,17,0,0,0,0,48,48,0,0,2,15,0,70,73,60,0,0,0,0,0,0,0,0,0,5,27,20,35,13,23,67,16,49,49,56,82,13,23,7,0,9,39,8,4
08/04/2024,39,35,21,0,0,0,0,68,47,0,0,2,15,0,0,61,45,0,0,0,0,0,0,26,0,0,4,28,20,35,12,36,63,16,76,45,55,67,17,36,10,0,13,43,7,0
08/11/2024,41,28,26,0,74,0,0,67,48,0,0,2,17,0,0,85,29,0,0,0,0,0,0,0,0,0,4,25,18,34,12,37,65,18,71,39,50,100,28,37,9,0,12,53,7,7
8/18/2024,39,41,13,0,51,0,0,37,50,0,0,2,21,0,0,64,45,0,0,0,0,0,0,0,0,20,4,26,17,26,13,46,61,16,42,47,58,61,20,46,0,0,18,46,7,4
8/25/2024,45,37,19,0,0,0,0,56,56,0,0,2,23,0,0,71,39,0,0,0,0,0,0,0,0,0,4,25,18,27,12,38,59,22,36,53,48,80,19,38,6,0,13,47,8,0
09/01/2024,41,27,20,0,62,0,0,49,55,0,0,2,26,0,0,62,54,0,0,0,0,0,0,0,0,0,5,22,16,30,11,36,61,8,40,39,35,40,20,36,0,0,9,42,6,4
09/08/2024,41,32,20,0,66,54,0,54,52,0,0,2,24,0,0,65,0,0,0,17,0,0,0,0,0,0,7,25,16,32,11,42,61,0,47,40,36,59,16,42,7,0,0,40,7,0
9/15/2024,42,32,22,0,66,0,48,63,63,0,0,1,21,0,0,59,53,0,0,0,0,0,0,0,0,0,8,29,18,28,14,33,66,13,90,52,50,62,24,33,6,0,0,40,6,0
9/22/2024,41,34,19,0,59,0,0,60,60,0,0,2,45,0,0,76,53,0,0,37,48,0,0,0,0,0,17,30,18,36,14,40,73,12,58,50,39,58,17,40,6,0,13,47,6,5
9/29/2024,43,45,16,0,48,0,0,69,68,0,0,2,23,0,0,79,52,0,0,32,0,0,0,25,0,0,13,33,16,32,15,48,65,16,59,46,46,51,21,48,10,0,0,40,7,0
10/06/2024,41,44,20,0,89,0,0,45,92,0,0,2,23,0,0,50,57,0,0,32,47,0,0,28,0,0,12,30,15,37,12,32,68,17,49,49,41,63,23,32,0,0,0,43,6,0
10/13/2024,42,37,20,0,78,0,0,75,59,100,0,2,19,0,0,82,58,0,0,43,44,0,0,0,0,0,14,33,16,46,12,45,72,14,63,42,36,80,12,45,0,36,0,42,7,0
10/20/2024,42,33,22,0,76,0,0,61,54,0,99,1,27,0,0,71,72,0,0,25,0,0,0,29,0,0,13,32,16,34,13,37,67,21,68,45,33,81,15,37,7,0,0,40,8,0
10/27/2024,41,40,25,0,0,0,0,67,52,0,0,2,25,0,0,70,32,0,0,20,0,0,0,0,0,0,11,31,16,33,12,21,67,21,44,41,53,56,22,21,10,0,0,42,7,0
11/03/2024,42,39,22,0,55,0,0,66,57,0,0,2,20,0,0,62,48,0,0,24,54,0,0,0,0,0,9,32,16,36,14,36,62,10,70,53,26,68,18,36,7,0,0,37,6,4
11/10/2024,40,42,23,0,0,0,0,57,60,0,0,3,15,0,0,66,33,0,0,0,49,0,0,27,0,0,8,27,15,34,12,41,65,13,48,49,45,58,18,41,7,0,13,44,8,0
11/17/2024,45,36,24,0,94,0,0,60,66,0,0,3,23,0,68,73,42,0,0,28,0,0,0,25,0,0,8,32,12,41,10,34,61,15,61,46,43,80,22,34,7,0,0,48,7,0
11/24/2024,46,51,25,0,67,0,0,73,69,0,0,3,16,0,0,71,57,0,0,0,0,0,0,0,0,0,7,42,16,40,14,50,56,8,49,46,32,46,22,50,8,0,0,34,6,0
12/01/2024,41,40,25,0,59,0,0,59,68,0,0,8,19,87,0,65,38,0,0,0,0,0,0,29,0,0,6,41,15,37,14,37,61,11,55,46,31,63,16,37,0,39,0,38,7,0
12/08/2024,39,51,27,100,0,0,0,71,61,0,0,46,29,0,0,70,59,0,0,0,0,0,0,27,0,0,6,45,17,37,15,31,70,12,48,62,45,54,26,31,8,0,0,43,6,5
12/15/2024,40,50,26,0,0,0,0,26,82,0,0,2,32,0,0,57,64,0,0,19,0,0,0,37,0,0,8,50,17,44,18,53,60,18,50,65,23,60,22,53,9,41,0,40,6,0
12/22/2024,49,45,32,0,86,0,0,59,74,0,0,1,34,0,0,64,92,0,0,0,0,0,0,0,0,0,16,58,20,56,19,70,61,28,44,80,33,53,16,70,12,45,28,35,6,0
12/29/2024,56,42,29,0,0,0,0,48,66,0,0,1,35,0,0,84,100,0,0,20,62,0,0,29,0,0,19,54,23,44,21,54,73,33,52,85,53,53,25,54,8,41,31,31,7,4
01/05/2025,42,42,26,0,58,0,0,36,71,0,0,2,50,0,0,84,97,77,0,20,0,0,0,0,0,0,27,48,22,52,16,42,66,23,69,85,49,56,18,42,0,51,54,38,8,4
01/12/2025,43,41,24,0,0,0,0,41,70,0,0,2,42,0,0,74,30,98,0,0,0,0,0,43,0,0,20,53,20,46,15,46,71,30,57,87,0,84,18,46,9,0,35,37,7,0
1/19/2025,43,42,26,0,0,0,0,42,64,0,0,1,35,0,0,81,75,83,0,26,0,0,0,36,0,19,17,46,22,43,16,36,63,26,60,83,52,61,24,36,0,0,32,38,7,5
1/26/2025,43,45,16,0,0,0,0,38,65,0,0,2,28,91,0,57,73,77,0,0,0,0,0,0,0,0,13,46,21,43,20,48,65,34,0,95,46,76,30,48,12,0,33,41,6,0
02/02/2025,45,50,28,0,52,0,0,46,71,0,0,2,100,0,0,87,90,100,0,60,67,0,0,46,0,0,100,55,20,48,16,46,63,26,66,93,56,65,19,46,9,35,100,38,7,5
02/09/2025,46,49,26,0,0,0,0,66,58,0,0,2,55,0,0,92,52,87,0,41,0,0,0,32,0,0,34,44,19,33,13,52,65,35,43,78,42,79,23,52,7,0,60,43,8,4
2/16/2025,39,39,18,96,49,0,0,72,57,0,0,3,34,0,0,78,81,63,84,23,0,0,0,34,0,0,18,35,19,33,11,25,68,33,52,79,50,50,22,25,7,0,36,38,8,0
2/23/2025,37,48,21,0,73,0,0,73,62,0,0,3,36,0,0,63,62,55,0,0,0,0,0,36,0,17,11,35,16,30,14,39,66,19,45,66,24,62,12,39,9,37,19,45,8,5
03/02/2025,45,37,23,0,0,0,0,43,58,0,0,1,26,0,0,86,44,0,0,0,0,0,0,26,0,0,9,31,16,32,13,29,62,16,39,61,48,86,22,29,7,39,22,44,7,5
03/09/2025,43,33,14,0,0,0,0,35,55,0,0,1,33,0,0,64,61,0,0,0,0,0,0,0,0,21,8,34,18,35,14,44,71,12,52,60,41,88,28,44,6,0,19,39,7,0
3/16/2025,40,36,24,0,68,0,0,58,65,0,0,4,29,0,0,81,42,0,0,0,0,0,0,0,0,0,7,37,17,39,15,47,62,27,63,55,50,59,15,47,9,0,16,43,7,4
3/23/2025,39,43,19,0,61,57,0,48,54,0,0,2,32,0,0,65,57,0,0,0,0,0,0,27,0,0,6,33,16,41,13,43,67,18,47,49,33,89,17,43,5,0,12,40,6,6
3/30/2025,39,38,20,0,62,0,0,68,70,0,0,3,21,0,0,56,42,0,0,0,0,0,0,33,0,0,5,39,14,42,15,50,68,21,0,36,40,85,13,50,7,0,0,39,6,4
04/06/2025,42,32,22,0,0,0,0,65,99,0,0,1,20,0,0,65,46,0,0,0,0,0,0,0,0,0,5,38,18,36,18,41,62,17,50,50,41,60,19,41,8,0,11,37,7,0
4/13/2025,40,51,24,0,0,0,0,51,66,0,0,2,19,0,0,61,70,0,0,0,0,0,100,29,0,0,4,44,19,43,18,26,67,21,35,44,36,78,30,26,6,0,11,42,7,5
4/20/2025,42,48,21,0,67,96,0,54,57,0,0,3,21,0,0,81,51,0,0,0,0,0,0,39,0,0,4,38,20,39,18,29,69,13,45,45,26,56,18,29,9,35,13,44,7,4
4/27/2025,44,45,19,0,100,0,0,53,58,0,0,3,16,0,0,50,73,0,0,0,0,0,0,35,0,0,4,37,17,39,15,35,62,19,78,41,35,49,14,35,0,36,9,45,7,5
05/04/2025,40,38,20,0,64,0,0,58,57,0,0,2,12,0,0,85,44,0,0,0,0,0,0,0,0,0,3,36,18,34,16,41,64,9,45,44,29,78,19,41,8,0,0,41,7,0
05/11/2025,44,42,21,11,29,14,18,59,51,0,0,2,24,0,0,56,51,0,0,0,0,0,0,33,0,0,4,33,18,35,15,42,64,16,30,37,39,58,23,42,6,0,13,35,7,0
