Year,Week,From,To,AandB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,30,18/07/2021,24/07/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,31,25/07/2021,31/07/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,32,01/08/2021,07/08/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,33,08/08/2021,14/08/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,34,15/08/2021,21/08/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,35,22/08/2021,28/08/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,36,29/08/2021,04/09/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,37,05/09/2021,11/09/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,38,12/09/2021,18/09/2021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,39,19/09/2021,25/09/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,40,26/09/2021,02/10/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,41,03/10/2021,09/10/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,42,10/10/2021,16/10/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,43,17/10/2021,23/10/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,44,24/10/2021,30/10/2021,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,45,31/10/2021,06/11/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,46,07/11/2021,13/11/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,47,14/11/2021,20/11/2021,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,48,21/11/2021,27/11/2021,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,49,28/11/2021,04/12/2021,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,50,05/12/2021,11/12/2021,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,51,12/12/2021,18/12/2021,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,52,19/12/2021,25/12/2021,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,26/12/2021,01/01/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,2,02/01/2022,08/01/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,3,09/01/2022,15/01/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,4,16/01/2022,22/01/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,5,23/01/2022,29/01/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,6,30/01/2022,05/02/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,7,06/02/2022,12/02/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,8,13/02/2022,19/02/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,9,20/02/2022,26/02/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,10,27/02/2022,05/03/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,11,06/03/2022,12/03/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,12,13/03/2022,19/03/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
