Period,Model,R2_Mean,R2_Std,MSE_Mean,MSE_Std,MAE_Mean,MAE_Std,AdjR2_Mean,AdjR2_Std
post,gradient_boosting,0.48308284817020075,0.6310888578210408,45179.444130169846,29045.48525323051,140.8394775756859,38.046660313039176,0.1384714136170013,1.0518147630350683
post,random_forest,0.6798346372535662,0.22810470680163272,32750.032181365015,14325.29752762961,122.9907587301587,20.75121660404637,0.4663910620892769,0.38017451133605445
post,svm,-0.0630585652904503,0.12227141676571625,135090.41212669102,75653.16781711922,289.33972698157356,76.59140645850968,-0.7717642754840839,0.20378569460952708
post,lightgbm,0.7277350519829912,0.07803271035946535,31700.813209303324,15087.022725818306,125.5696372556259,23.523110474486423,0.5462250866383187,0.1300545172657756
post,xgboost,0.7216747581958771,0.17529908765762045,30105.30068359375,13984.179095364016,125.83585815429687,23.318351884350488,0.5361245969931285,0.2921651460960341
